SL.NO,COUNTRY,TOTAL CASES,NEW CASES,TOTAL DEATHS,NEW DEATHS,TOTAL RECOVERED,NEW RECOVERED,ACTIVE CASES,CRITICAL CASES,CASES/MILLION,DEATHS/MILLION,TOTAL TESTS,TESTS/MILLION,POPULATION,CONTINENT
125,Eswatini,"17,243",0,663 ,0,"15,841",0,739,36,"14,755",567,"155,723","133,253","1,168,629 ",Africa
126,Gabon,"16,945",0,101 ,0,"14,780",0,"2,064",27,"7,489",45,"581,364","256,956","2,262,505 ",Africa
127,French Guiana,"16,764",0,87 ,0,"9,995",0,"6,682",6,"55,127",286,"153,467","504,666","304,096 ",South America
128,Syria,"16,656",0,"1,110 ",0,"11,141",0,"4,405",0,936,62,0,0,"17,798,214 ",Asia
129,Cabo Verde,"16,154",0,157 ,0,"15,549",0,448,23,"28,834",280,"125,300","223,653","560,242 ",Africa
130,Réunion,"13,801",0,71 ,0,"12,389",0,"1,341",58,"15,337",79,"98,785","109,783","899,821 ",Africa
131,Tajikistan,"13,308",0,90 ,0,"13,218",0,0,0,"1,374",9,0,0,"9,687,721 ",Asia
132,Haiti,"12,669",0,250 ,0,"10,204",0,"2,215",0,"1,102",22,"54,379","4,728","11,500,401 ",North America
133,Belize,"12,389",0,316 ,0,"12,010",0,63,0,"30,765",785,"91,777","227,906","402,696 ",North America
134,Burkina Faso,"12,378",0,144 ,0,"11,974",0,260,0,581,7,0,0,"21,303,812 ",Africa
135,Hong Kong,"11,341",+11,203 ,0,"10,809",+23,329,10,"1,504",27,"9,296,529","1,232,980","7,539,887 ",Asia
136,Andorra,"11,319",0,113 ,0,"10,861",0,345,12,"146,331","1,461","193,595","2,502,780","77,352 ",Europe
137,Guadeloupe,"10,614",0,162 ,0,"2,242",0,"8,210",8,"26,524",405,"141,058","352,493","400,172 ",North America
138,Lesotho,"10,530",0,309 ,0,"3,922",0,"6,299",0,"4,888",143,"63,155","29,317","2,154,230 ",Africa
139,South Sudan,"9,613",0,106 ,0,"7,906",0,"1,601",2,852,9,"121,922","10,803","11,286,150 ",Africa
140,Somalia,"9,437",0,385 ,0,"4,306",0,"4,746",0,582,24,0,0,"16,202,997 ",Africa
141,Congo,"9,329",0,131 ,0,"7,514",0,"1,684",0,"1,662",23,"92,500","16,479","5,613,135 ",Africa
142,Guyana,"9,238",0,208 ,0,"8,359",0,671,7,"11,705",264,"77,427","98,104","789,233 ",South America
143,Suriname,"9,034",0,176 ,0,"8,528",0,330,5,"15,303",298,"42,901","72,672","590,338 ",South America
144,Mali,"9,018",0,364 ,0,"6,526",0,"2,128",0,437,18,"159,785","7,735","20,658,139 ",Africa
145,Bahamas,"8,776",0,186 ,0,"7,652",0,938,2,"22,168",470,"72,093","182,102","395,893 ",North America
146,Aruba,"8,482",0,80 ,0,"8,094",0,308,8,"79,207",747,"114,733","1,071,410","107,086 ",North America
147,Togo,"8,322",0,97 ,0,"6,940",0,"1,285",0,989,12,"255,072","30,313","8,414,587 ",Africa
148,Trinidad and Tobago,"7,790",0,140 ,0,"7,544",0,106,2,"5,554",100,"103,422","73,731","1,402,692 ",North America
149,Martinique,"7,309",0,47 ,0,98,0,"7,164",5,"19,488",125,"113,150","301,686","375,059 ",North America
150,Equatorial Guinea,"6,603",0,100 ,0,"5,994",0,509,19,"4,601",70,"105,164","73,280","1,435,104 ",Africa
151,Nicaragua,"6,582",0,176 ,0,"4,225",0,"2,181",0,985,26,0,0,"6,680,056 ",North America
152,Benin,"6,501",0,81 ,0,"5,552",0,868,35,527,7,"520,466","42,159","12,345,235 ",Africa
153,Djibouti,"6,336",0,63 ,0,"5,998",0,275,0,"6,348",63,"120,924","121,154","998,105 ",Africa
154,Iceland,"6,087",0,29 ,0,"6,028",0,30,1,"17,756",85,"517,236","1,508,830","342,806 ",Europe
